ID,Timestamp,Contents,Attachments
806465486845509673,2021-02-03 10:05:55.468000+00:00,Done ðŸ˜‡,
806464774471942154,2021-02-03 10:03:05.625000+00:00,"k
I will add it",
806462151350288404,2021-02-03 09:52:40.224000+00:00,thx,
806462131008176208,2021-02-03 09:52:35.374000+00:00,I think I got it,
806465486845509674,2021-02-03 10:05:55.468000+00:00,Done ðŸ˜‡,
806464774471942155,2021-02-03 10:03:05.625000+00:00,"k
I will add it",
806462151350288405,2021-02-03 09:52:40.224000+00:00,thx,
806462131008176209,2021-02-03 09:52:35.374000+00:00,I think I got it,
806465486845509675,2021-02-03 10:05:55.468000+00:00,Done ðŸ˜‡,
806464774471942156,2021-02-03 10:03:05.625000+00:00,"k
I will add it",
806462151350288406,2021-02-03 09:52:40.224000+00:00,thx,
806462131008176210,2021-02-03 09:52:35.374000+00:00,I think I got it,